CONTINENT,SIZE,country,gppd_idnr,name,capacity_m,commission,T1__6_year,T2__3_year,latitude,longitude
South America,Small,ARG,ARG0000271,SALTO ANDERSEN,7.9,2012,2006,2015,-38.8244,-64.8296
South America,Medium,ARG,ARG0000296,CH LOS CARACOLES,121.4,2009,2003,2012,-31.5192,-68.9814
South America,Medium,BRA,BRA0000012,14 de Julho,100.71,2008,2002,2011,-29.0648,-51.6749
South America,Large,BRA,BRA0000042,Aimorés,330,2005,2002,2008,-19.4983,-41.0236
South America,Small,BRA,BRA0000161,ARS,6.66,2009,2003,2012,-13.0992,-54.8189
South America,Medium,BRA,BRA0000215,Barra do BraÃºna,39,2009,2003,2012,-21.45,-42.4
South America,Medium,BRA,BRA0000291,Bonfante,19,2008,2002,2011,-22.0089,-43.2653
South America,Small,BRA,BRA0000345,Caboclo,4.16,2014,2008,2017,-20.495,-43.4828
South America,Medium,BRA,BRA0000718,Castro Alves,130.845,2008,2002,2011,-29.0083,-51.3792
South America,Small,BRA,BRA0000868,CorumbataÃ­,1.7,2008,2002,2011,-22.4833,-47.6
South America,Small,BRA,BRA0001025,GaviÃ£o Peixoto,4.8,2007,2001,2010,-21.85,-48.5167
South America,Large,BRA,BRA0001146,Irapé,399,2006,2002,2009,-16.7381,-42.5747
South America,Medium,BRA,BRA0001147,Irara,30,2008,2002,2011,-18.0833,-51.1667
South America,Medium,BRA,BRA0001498,Monte Serrat,25,2009,2003,2012,-22.0197,-43.3022
South America,Medium,BRA,BRA0001959,Paracambi,25,2012,2006,2015,-22.6833,-43.7667
South America,Medium,BRA,BRA0002045,Pery,30,2013,2007,2016,-27.4578,-50.6406
South America,Small,BRA,BRA0002054,Picada 48,1.4014,2012,2006,2015,-29.5833,-51.1278
South America,Medium,BRA,BRA0002069,Pipoca,20,2010,2004,2013,-19.75,-41.7667
South America,Medium,BRA,BRA0002133,Angelina (Antiga Portobello - Corredeira do Encano),26.29,2010,2004,2013,-27.4547,-48.9828
South America,Medium,BRA,BRA0002547,Rondon,13,2011,2005,2014,-12.9036,-58.9128
South America,Small,BRA,BRA0002570,SalesÃ³polis,1,2008,2002,2011,-23.5633,-45.8364
South America,Small,BRA,BRA0002707,SÃ£o Valentim,1.45,2009,2003,2012,-21.7433,-47.4189
South America,Medium,BRA,BRA0002754,SÃ­tio Grande,25,2010,2004,2013,-12.4167,-45.1167
South America,Medium,BRA,BRA0026732,Santa Rosa II,30,2008,2002,2011,-22.0991,-42.2669
South America,Large,BRA,BRA0026792, Santo Antonio do Jari ,373.4,2014,2011,2017,-0.65,-52.5167
South America,Medium,BRA,BRA0026834,SÃ£o JoÃ£o,25,2007,2001,2010,-20.5081,-41.2808
South America,Small,BRA,BRA0027066,Funil,3.6,2014,2008,2017,-20.4967,-43.4722
South America,Small,BRA,BRA0027096,SÃ£o Pedro,1.5,2007,2001,2010,-23.2744,-47.2392
South America,Medium,BRA,BRA0027448,Rondon II,73.5,2011,2005,2014,-11.9975,-60.6972
South America,Medium,BRA,BRA0027484,Amador Aguiar II (Antiga Capim Branco II),210,2007,2001,2010,-18.6597,-48.4353
South America,Medium,BRA,BRA0027530,Barra da PaciÃªncia,23,2011,2005,2014,-18.95,-42.6
South America,Small,BRA,BRA0027572,VÃ¡rzea Alegre,7.5,2011,2005,2014,-19.9861,-41.7169
South America,Small,BRA,BRA0027575,FumaÃ§a IV,4.5,2008,2002,2011,-20.7492,-41.8761
South America,Small,BRA,BRA0027576,Ninho da Ãguia,10,2011,2005,2014,-22.5,-45.3333
South America,Medium,BRA,BRA0027645,Funil,22.5,2008,2002,2011,-19.0833,-42.85
South America,Medium,BRA,BRA0027672,Calheiros,19,2008,2002,2011,-20.9847,-41.71
South America,Medium,BRA,BRA0027673,SÃ£o GonÃ§alo (Antiga Santa BÃ¡rbara),11,2010,2004,2013,-19.8167,-43.25
South America,Small,BRA,BRA0027719,Salto,4.24,2014,2008,2017,-20.4942,-43.4506
South America,Small,BRA,BRA0027728,Cocais Grande,10,2009,2003,2012,-19.5319,-42.7672
South America,Small,BRA,BRA0027729,Varginha,9,2010,2004,2013,-20.0431,-41.7478
South America,Small,BRA,BRA0027730,Cristina,3.8,2011,2005,2014,-22.1578,-45.2806
South America,Medium,BRA,BRA0027731,Carangola,15,2008,2002,2011,-20.7019,-42.0394
South America,Medium,BRA,BRA0027842,Corrente Grande,14,2011,2005,2014,-18.95,-42.5167
South America,Medium,BRA,BRA0027876,Linha EmÃ­lia,19.5,2009,2003,2012,-28.9333,-51.7667
South America,Medium,BRA,BRA0027877,CotiporÃ£,19.5,2008,2002,2011,-28.9666,-51.75
South America,Medium,BRA,BRA0027878,CaÃ§ador,22.5,2008,2002,2011,-28.7055,-51.8506
South America,Medium,BRA,BRA0027910,Areia Branca,19.8,2010,2004,2013,-19.5761,-41.8028
South America,Medium,BRA,BRA0027940,CachoeirÃ£o,27,2008,2002,2011,-19.4367,-41.6142
South America,Medium,BRA,BRA0027972,Santa Laura,15,2007,2001,2010,-26.7666,-52.3178
South America,Medium,BRA,BRA0027985,SÃ£o Joaquim,21,2008,2002,2011,-20.6131,-40.7878
South America,Medium,BRA,BRA0028171,SÃ£o SimÃ£o,27.42,2009,2003,2012,-20.6167,-41.4833
South America,Medium,BRA,BRA0028182,Santa Edwiges III,11.6,2009,2003,2012,-14.3717,-46.2914
South America,Medium,BRA,BRA0028203,Salto,19,2007,2001,2010,-15.2881,-58.7106
South America,Small,BRA,BRA0028204,Dona Maria Piana,1,2010,2004,2013,-29.2,-51.25
South America,Small,BRA,BRA0028242,Santa Terezinha,1,2009,2003,2012,-22.3128,-46.1986
South America,Medium,BRA,BRA0028352,CorumbÃ¡ III,96.447,2009,2003,2012,-16.7861,-47.9419
South America,Large,BRA,BRA0028353,Peixe Angical,498.75,2006,2002,2009,-12.2391,-48.3824
South America,Large,BRA,BRA0028354,Foz do Chapecó,855,2010,2007,2013,-27.1417,-53.0397
